date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:17	17392/17392	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:32%20GMT	http://www.badaramdwara.org/images/flickr/book4.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book4.jpg	(from http://www.badaramdwara.org/)
16:45:21	19066/19066	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:36%20GMT	http://www.badaramdwara.org/images/flickr/book5.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book5.jpg	(from http://www.badaramdwara.org/)
16:45:24	17710/17710	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:38%20GMT	http://www.badaramdwara.org/images/flickr/book6.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book6.jpg	(from http://www.badaramdwara.org/)
16:45:28	17166/17166	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:40%20GMT	http://www.badaramdwara.org/images/flickr/book7.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book7.jpg	(from http://www.badaramdwara.org/)
16:45:32	16630/16630	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:30%20GMT	http://www.badaramdwara.org/images/flickr/book2.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book2.jpg	(from http://www.badaramdwara.org/)
16:45:37	26574/26574	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:42%20GMT	http://www.badaramdwara.org/images/flickr/book9.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book9.jpg	(from http://www.badaramdwara.org/)
16:45:39	4108/4108	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202014%2011:28:38%20GMT	http://www.badaramdwara.org/images/fb.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/fb.png	(from http://www.badaramdwara.org/)
16:45:42	9132/9132	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202014%2011:39:06%20GMT	http://www.badaramdwara.org/images/twit.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/twit.png	(from http://www.badaramdwara.org/)
16:45:44	7358/7358	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202014%2011:39:10%20GMT	http://www.badaramdwara.org/images/yt.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/yt.png	(from http://www.badaramdwara.org/)
16:45:45	1127/1127	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:45:44%20GMT	http://www.badaramdwara.org/news.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/news.html	(from http://www.badaramdwara.org/)
16:45:49	15853/15853	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202014%2013:42:46%20GMT	http://www.badaramdwara.org/nivo/jquery.nivo.slider.pack.js	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/nivo/jquery.nivo.slider.pack.js	(from http://www.badaramdwara.org/)
16:45:50	3725/3725	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202014%2011:28:36%20GMT	http://www.badaramdwara.org/images/divider.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/divider.png	(from http://www.badaramdwara.org/styles.css)
16:45:52	3675/3675	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202014%2011:19:36%20GMT	http://www.badaramdwara.org/images/11.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/11.png	(from http://www.badaramdwara.org/styles.css)
16:45:54	3489/3489	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202014%2011:19:40%20GMT	http://www.badaramdwara.org/images/111.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/111.png	(from http://www.badaramdwara.org/styles.css)
16:45:55	338/338	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Mar%202017%2016:45:54%20GMT	http://www.badaramdwara.org/images/icon-float.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/icon-float.3d.delayed	(from http://www.badaramdwara.org/styles.css)
16:45:55	341/341	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Mar%202017%2016:45:55%20GMT	http://www.badaramdwara.org/images/icon-facebook.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/icon-facebook.3e.delayed	(from http://www.badaramdwara.org/styles.css)
